CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Yuba City, CA Total"," 170,955 "," 20,986 "," 31,346 "," (10,360)"," 13,821 "," 21,322 "," (7,501)"," 7,165 "," 10,024 "," 1,234 ", 139 
"Waterloo-Cedar Falls, IA Total"," 170,612 "," 39,445 "," 39,211 ", 234 ," 48,663 "," 36,666 "," 11,997 "," (9,218)"," 2,545 "," 1,503 ", 114 
"Abilene, TX Total"," 169,578 "," 11,590 "," 42,934 "," (31,344)"," 11,701 "," 41,487 "," (29,786)", (111)," 1,447 "," 2,743 ", 62 
"Oshkosh-Neenah, WI Total"," 169,546 "," 37,047 "," 43,445 "," (6,398)"," 45,410 "," 42,073 "," 3,337 "," (8,363)"," 1,372 ", 434 , 390 
"Sioux City, IA-NE-SD Total"," 169,069 "," 24,192 "," 45,354 "," (21,162)"," 32,657 "," 40,204 "," (7,547)"," (8,465)"," 5,150 "," 2,937 ", 58 
"Bowling Green, KY Total"," 168,436 "," 20,241 "," 43,702 "," (23,461)"," 21,280 "," 38,516 "," (17,236)"," (1,039)"," 5,186 "," 1,615 ", 104 
"Billings, MT Total"," 168,283 "," 24,070 "," 45,033 "," (20,963)"," 28,511 "," 44,285 "," (15,774)"," (4,441)", 748 ," 5,857 ", 29 
"Midland, TX Total"," 166,718 "," 10,291 "," 38,428 "," (28,137)"," 8,470 "," 36,790 "," (28,320)"," 1,821 "," 1,638 "," 1,815 ", 92 
"Iowa City, IA Total"," 166,498 "," 54,143 "," 27,217 "," 26,926 "," 55,171 "," 29,096 "," 26,075 "," (1,028)"," (1,879)"," 1,183 ", 141 
"East Stroudsburg, PA Total"," 166,397 "," 33,918 "," 33,386 ", 532 ," 33,431 "," 25,100 "," 8,331 ", 487 ," 8,286 ", 608 , 274 
"Eau Claire, WI Total"," 165,636 "," 39,227 "," 41,247 "," (2,020)"," 45,829 "," 38,589 "," 7,240 "," (6,602)"," 2,658 "," 1,646 ", 101 
"Bloomington, IN Total"," 165,577 "," 36,162 "," 26,745 "," 9,417 "," 25,708 "," 21,316 "," 4,392 "," 10,454 "," 5,429 ", 780 , 212 
"Kahului-Wailuku-Lahaina, HI Total"," 164,637 "," 33,480 "," 13,446 "," 20,034 "," 35,979 "," 11,577 "," 24,402 "," (2,499)"," 1,869 "," 1,162 ", 142 
"Pueblo, CO Total"," 163,591 "," 35,875 "," 36,265 ", (390)," 40,624 "," 31,023 "," 9,601 "," (4,749)"," 5,242 "," 2,386 ", 69 
"Janesville-Beloit, WI Total"," 161,448 "," 39,339 "," 31,493 "," 7,846 "," 49,158 "," 30,492 "," 18,666 "," (9,819)"," 1,001 ", 718 , 225 
"State College, PA Total"," 160,580 "," 37,088 "," 35,274 "," 1,814 "," 33,677 "," 33,697 ", (20)," 3,411 "," 1,577 "," 1,110 ", 145 
"Jackson, MI Total"," 159,494 "," 25,795 "," 39,793 "," (13,998)"," 32,301 "," 36,298 "," (3,997)"," (6,506)"," 3,495 ", 702 , 227 
"Odessa, TX Total"," 159,436 "," 10,249 "," 25,020 "," (14,771)"," 8,095 "," 23,936 "," (15,841)"," 2,154 "," 1,084 ", 898 , 178 
"Burlington, NC Total"," 158,276 "," 29,833 "," 38,815 "," (8,982)"," 28,341 "," 37,712 "," (9,371)"," 1,492 "," 1,103 ", 424 , 373 
"Auburn-Opelika, AL Total"," 156,993 "," 21,230 "," 34,617 "," (13,387)"," 21,274 "," 32,062 "," (10,788)", (44)," 2,555 ", 608 , 258 
"Vineland-Bridgeton, NJ Total"," 155,854 "," 27,771 "," 24,453 "," 3,318 "," 30,172 "," 18,767 "," 11,405 "," (2,401)"," 5,686 ", 484 , 322 
"St. George, UT Total"," 155,602 "," 10,288 "," 42,650 "," (32,362)"," 7,762 "," 41,104 "," (33,342)"," 2,526 "," 1,546 "," 2,426 ", 64 
"Madera, CA Total"," 154,998 "," 17,029 "," 23,357 "," (6,328)"," 12,698 "," 18,990 "," (6,292)"," 4,331 "," 4,367 "," 2,137 ", 73 
"Niles-Benton Harbor, MI Total"," 154,636 "," 29,495 "," 38,647 "," (9,152)"," 33,465 "," 38,209 "," (4,744)"," (3,970)", 438 , 568 , 272 
"Alexandria, LA Total"," 154,484 "," 19,503 "," 44,224 "," (24,721)"," 21,461 "," 44,269 "," (22,808)"," (1,958)", (45)," 1,961 ", 79 
"Chambersburg-Waynesboro, PA Total"," 153,638 "," 17,465 "," 49,768 "," (32,303)"," 18,910 "," 43,072 "," (24,162)"," (1,445)"," 6,696 ", 772 , 199 
"Albany, GA Total"," 153,526 "," 31,418 "," 29,679 "," 1,739 "," 35,216 "," 30,233 "," 4,983 "," (3,798)", (554)," 1,933 ", 79 
"Bangor, ME Total"," 152,692 "," 32,838 "," 41,622 "," (8,784)"," 38,816 "," 36,592 "," 2,224 "," (5,978)"," 5,030 "," 3,397 ", 45 
"Decatur, AL Total"," 152,680 "," 14,881 "," 48,319 "," (33,438)"," 18,456 "," 44,164 "," (25,708)"," (3,575)"," 4,155 "," 1,270 ", 120 
"Jefferson City, MO Total"," 151,145 "," 18,137 "," 48,876 "," (30,739)"," 21,153 "," 46,263 "," (25,110)"," (3,016)"," 2,613 "," 2,248 ", 67 
"Hanford-Corcoran, CA Total"," 150,965 "," 13,617 "," 18,093 "," (4,476)"," 12,282 "," 17,184 "," (4,902)"," 1,335 ", 909 ," 1,389 ", 109 
"Wichita Falls, TX Total"," 150,780 "," 9,700 "," 35,794 "," (26,094)"," 11,755 "," 37,621 "," (25,866)"," (2,055)"," (1,827)"," 2,620 ", 58 
"Ottawa-Peru, IL Total"," 150,564 "," 26,719 "," 37,737 "," (11,018)"," 32,699 "," 32,858 ", (159)," (5,980)"," 4,879 "," 2,164 ", 70 
"Coeur d'Alene, ID Total"," 150,346 "," 16,264 "," 44,449 "," (28,185)"," 18,824 "," 39,347 "," (20,523)"," (2,560)"," 5,102 "," 1,244 ", 121 
"Texarkana, TX-AR Total"," 149,769 "," 14,508 "," 39,823 "," (25,315)"," 16,254 "," 38,847 "," (22,593)"," (1,746)", 976 ," 2,043 ", 73 
"Monroe, MI Total"," 149,568 "," 26,863 "," 43,261 "," (16,398)"," 36,310 "," 35,593 ", 717 ," (9,447)"," 7,668 ", 549 , 272 
"Hattiesburg, MS Total"," 148,839 "," 18,126 "," 38,347 "," (20,221)"," 18,635 "," 36,921 "," (18,286)", (509)," 1,426 "," 1,611 ", 92 
"Santa Fe, NM Total"," 148,686 "," 50,793 "," 14,332 "," 36,461 "," 49,668 "," 15,145 "," 34,523 "," 1,125 ", (813)," 1,909 ", 78 
"Elizabethtown-Fort Knox, KY Total"," 148,604 "," 18,248 "," 40,430 "," (22,182)"," 21,069 "," 33,874 "," (12,805)"," (2,821)"," 6,556 "," 1,190 ", 125 
"Grand Junction, CO Total"," 148,513 "," 21,729 "," 49,779 "," (28,050)"," 22,448 "," 45,087 "," (22,639)", (719)," 4,692 "," 3,329 ", 45 
"Traverse City, MI Total"," 148,334 "," 34,127 "," 46,307 "," (12,180)"," 35,402 "," 43,983 "," (8,581)"," (1,275)"," 2,324 "," 1,691 ", 88 
"Dothan, AL Total"," 148,171 "," 14,481 "," 46,354 "," (31,873)"," 17,433 "," 43,992 "," (26,559)"," (2,952)"," 2,362 "," 1,716 ", 86 
"Rocky Mount, NC Total"," 148,069 "," 39,459 "," 31,580 "," 7,879 "," 42,463 "," 32,263 "," 10,200 "," (3,004)", (683)," 1,046 ", 142 
"Concord, NH Total"," 147,994 "," 40,198 "," 37,674 "," 2,524 "," 44,635 "," 34,451 "," 10,184 "," (4,437)"," 3,223 ", 934 , 158 
"Sebastian-Vero Beach, FL Total"," 147,919 "," 29,043 "," 48,620 "," (19,577)"," 27,483 "," 43,441 "," (15,958)"," 1,560 "," 5,179 ", 503 , 294 
"Florence-Muscle Shoals, AL Total"," 146,950 "," 17,264 "," 44,645 "," (27,381)"," 21,664 "," 37,833 "," (16,169)"," (4,400)"," 6,812 "," 1,260 ", 117 
"Pottsville, PA Total"," 144,590 "," 16,770 "," 44,001 "," (27,231)"," 24,453 "," 32,156 "," (7,703)"," (7,683)"," 11,845 ", 779 , 186 
"Wheeling, WV-OH Total"," 144,198 "," 17,196 "," 41,913 "," (24,717)"," 23,844 "," 33,203 "," (9,359)"," (6,648)"," 8,710 ", 943 , 153 
"Rapid City, SD Total"," 144,134 "," 17,418 "," 41,538 "," (24,120)"," 19,385 "," 38,851 "," (19,466)"," (1,967)"," 2,687 "," 7,805 ", 18 
"Dalton, GA Total"," 143,781 "," 9,737 "," 31,878 "," (22,141)"," 9,735 "," 27,729 "," (17,994)", 2 ," 4,149 ", 635 , 226 
"Valdosta, GA Total"," 142,875 "," 18,554 "," 28,327 "," (9,773)"," 21,500 "," 27,427 "," (5,927)"," (2,946)", 900 ," 1,589 ", 90 
"Napa, CA Total"," 142,456 "," 39,199 "," 17,411 "," 21,788 "," 19,964 "," 11,647 "," 8,317 "," 19,235 "," 5,764 ", 748 , 190 
"Homosassa Springs, FL Total"," 141,058 "," 22,789 "," 54,456 "," (31,667)"," 28,453 "," 44,657 "," (16,204)"," (5,664)"," 9,799 ", 582 , 242 
"Tupelo, MS Total"," 139,817 "," 13,532 "," 41,026 "," (27,494)"," 16,427 "," 38,332 "," (21,905)"," (2,895)"," 2,694 "," 1,480 ", 94 
"Idaho Falls, ID Total"," 139,747 "," 10,066 "," 36,049 "," (25,983)"," 11,490 "," 43,232 "," (31,742)"," (1,424)"," (7,183)"," 5,191 ", 27 
"Flagstaff, AZ Total"," 139,097 "," 32,404 "," 21,108 "," 11,296 "," 26,316 "," 19,368 "," 6,948 "," 6,088 "," 1,740 "," 18,619 ", 7 
"Morgantown, WV Total"," 138,176 "," 17,169 "," 27,970 "," (10,801)"," 16,580 "," 24,513 "," (7,933)", 589 ," 3,457 "," 1,009 ", 137 
"Lebanon, PA Total"," 137,067 "," 18,953 "," 40,525 "," (21,572)"," 18,975 "," 34,010 "," (15,035)", (22)," 6,515 ", 362 , 379 
"La Crosse-Onalaska, WI-MN Total"," 136,985 "," 36,551 "," 31,994 "," 4,557 "," 41,913 "," 30,662 "," 11,251 "," (5,362)"," 1,332 "," 1,004 ", 136 
"Johnstown, PA Total"," 136,411 "," 18,867 "," 42,258 "," (23,391)"," 23,181 "," 33,464 "," (10,283)"," (4,314)"," 8,794 ", 688 , 198 
"Springfield, OH Total"," 135,959 "," 23,328 "," 35,205 "," (11,877)"," 30,022 "," 31,116 "," (1,094)"," (6,694)"," 4,089 ", 397 , 342 
"Wausau, WI Total"," 135,868 "," 26,481 "," 39,014 "," (12,533)"," 32,330 "," 36,568 "," (4,238)"," (5,849)"," 2,446 "," 1,545 ", 88 
"Eureka-Arcata-Fortuna, CA Total"," 135,727 "," 33,200 "," 18,373 "," 14,827 "," 27,757 "," 15,653 "," 12,104 "," 5,443 "," 2,720 "," 3,568 ", 38 
"Battle Creek, MI Total"," 134,314 "," 24,157 "," 31,494 "," (7,337)"," 29,270 "," 28,338 ", 932 ," (5,113)"," 3,156 ", 706 , 190 
"Lumberton, NC Total"," 134,197 "," 19,016 "," 20,762 "," (1,746)"," 23,957 "," 17,093 "," 6,864 "," (4,941)"," 3,669 ", 949 , 141 
"Logan, UT-ID Total"," 133,857 "," 8,948 "," 25,040 "," (16,092)"," 5,759 "," 36,013 "," (30,254)"," 3,189 "," (10,973)"," 1,828 ", 73 
"Winchester, VA-WV Total"," 133,836 "," 18,676 "," 37,565 "," (18,889)"," 20,066 "," 33,308 "," (13,242)"," (1,390)"," 4,257 "," 1,063 ", 126 
"Harrisonburg, VA Total"," 131,131 "," 19,578 "," 32,252 "," (12,674)"," 18,709 "," 30,737 "," (12,028)", 869 ," 1,515 ", 867 , 151 
"Jamestown-Dunkirk-Fredonia, NY Total"," 130,779 "," 19,091 "," 31,594 "," (12,503)"," 21,815 "," 25,795 "," (3,980)"," (2,724)"," 5,799 "," 1,060 ", 123 
"Lawton, OK Total"," 130,644 "," 11,887 "," 21,237 "," (9,350)"," 13,174 "," 19,453 "," (6,279)"," (1,287)"," 1,784 "," 1,702 ", 77 
"Jackson, TN Total"," 129,682 "," 17,994 "," 30,398 "," (12,404)"," 21,651 "," 30,443 "," (8,792)"," (3,657)", (45)," 1,108 ", 117 
"Bismarck, ND Total"," 129,517 "," 14,838 "," 44,958 "," (30,120)"," 19,684 "," 37,396 "," (17,712)"," (4,846)"," 7,562 "," 5,376 ", 24 
"Hammond, LA Total"," 128,755 "," 16,878 "," 33,959 "," (17,081)"," 17,720 "," 31,583 "," (13,863)", (842)," 2,376 ", 791 , 163 
"Jonesboro, AR Total"," 128,394 "," 12,418 "," 28,394 "," (15,976)"," 12,738 "," 25,011 "," (12,273)", (320)," 3,383 "," 1,466 ", 88 
"Dunn, NC Total"," 128,140 "," 16,737 "," 27,614 "," (10,877)"," 16,858 "," 25,070 "," (8,212)", (121)," 2,544 ", 595 , 215 
"London, KY Total"," 127,953 "," 7,268 "," 41,789 "," (34,521)"," 9,072 "," 36,850 "," (27,778)"," (1,804)"," 4,939 "," 1,258 ", 102 
"Pittsfield, MA Total"," 127,828 "," 43,714 "," 16,839 "," 26,875 "," 48,596 "," 14,209 "," 34,387 "," (4,882)"," 2,630 ", 927 , 138 
"Glens Falls, NY Total"," 126,918 "," 22,189 "," 29,361 "," (7,172)"," 23,708 "," 22,825 ", 883 ," (1,519)"," 6,536 "," 1,698 ", 75 
"St. Joseph, MO-KS Total"," 126,880 "," 15,466 "," 34,126 "," (18,660)"," 20,322 "," 29,570 "," (9,248)"," (4,856)"," 4,556 "," 1,656 ", 77 
"Carbondale-Marion, IL Total"," 126,828 "," 20,215 "," 32,413 "," (12,198)"," 21,928 "," 27,010 "," (5,082)"," (1,713)"," 5,403 "," 1,004 ", 126 
"Sierra Vista-Douglas, AZ Total"," 126,427 "," 17,450 "," 28,092 "," (10,642)"," 16,223 "," 26,742 "," (10,519)"," 1,227 "," 1,350 "," 6,166 ", 21 
"New Bern, NC Total"," 126,245 "," 22,143 "," 34,963 "," (12,820)"," 23,523 "," 33,511 "," (9,988)"," (1,380)"," 1,452 "," 1,516 ", 83 
"Altoona, PA Total"," 125,593 "," 13,958 "," 39,135 "," (25,177)"," 15,516 "," 31,500 "," (15,984)"," (1,558)"," 7,635 ", 526 , 239 
"Sherman-Denison, TX Total"," 125,467 "," 10,301 "," 35,325 "," (25,024)"," 10,665 "," 30,907 "," (20,242)", (364)," 4,418 ", 933 , 135 
"Goldsboro, NC Total"," 124,132 "," 21,770 "," 27,540 "," (5,770)"," 23,154 "," 27,536 "," (4,382)"," (1,384)", 4 , 553 , 224 
"Beckley, WV Total"," 122,507 "," 10,733 "," 32,405 "," (21,672)"," 13,019 "," 28,679 "," (15,660)"," (2,286)"," 3,726 "," 1,267 ", 97 
"Mount Vernon-Anacortes, WA Total"," 121,846 "," 26,690 "," 24,736 "," 1,954 "," 21,875 "," 19,418 "," 2,457 "," 4,815 "," 5,318 "," 1,731 ", 70 
"Mansfield, OH Total"," 121,707 "," 16,085 "," 36,590 "," (20,505)"," 21,785 "," 33,057 "," (11,272)"," (5,700)"," 3,533 ", 495 , 246 
"Cleveland, TN Total"," 120,864 "," 8,322 "," 34,865 "," (26,543)"," 9,891 "," 31,525 "," (21,634)"," (1,569)"," 3,340 ", 763 , 158 
"Albany, OR Total"," 120,547 "," 17,995 "," 33,488 "," (15,493)"," 19,893 "," 28,482 "," (8,589)"," (1,898)"," 5,006 "," 2,290 ", 53 
"Weirton-Steubenville, WV-OH Total"," 120,512 "," 15,505 "," 36,651 "," (21,146)"," 23,515 "," 28,902 "," (5,387)"," (8,010)"," 7,749 ", 580 , 208 
"Staunton-Waynesboro, VA Total"," 120,221 "," 17,274 "," 36,097 "," (18,823)"," 18,994 "," 33,660 "," (14,666)"," (1,720)"," 2,437 "," 1,002 ", 120 
"Augusta-Waterville, ME Total"," 119,980 "," 29,302 "," 31,675 "," (2,373)"," 35,022 "," 26,506 "," 8,516 "," (5,720)"," 5,169 ", 868 , 138 
"San Angelo, TX Total"," 119,659 "," 9,263 "," 28,154 "," (18,891)"," 9,358 "," 27,417 "," (18,059)", (95), 737 ," 2,574 ", 46 
"The Villages, FL Total"," 118,891 "," 22,638 "," 52,730 "," (30,092)"," 19,519 "," 40,644 "," (21,125)"," 3,119 "," 12,086 ", 547 , 217 
"Farmington, NM Total"," 118,737 "," 12,865 "," 27,946 "," (15,081)"," 15,688 "," 28,779 "," (13,091)"," (2,823)", (833)," 5,513 ", 22 
"Lawrence, KS Total"," 118,053 "," 30,089 "," 14,308 "," 15,781 "," 28,012 "," 17,028 "," 10,984 "," 2,077 "," (2,720)", 456 , 259 
"Watertown-Fort Drum, NY Total"," 117,635 "," 13,809 "," 21,763 "," (7,954)"," 15,345 "," 16,279 ", (934)," (1,536)"," 5,484 "," 1,269 ", 93 
"Owensboro, KY Total"," 117,463 "," 16,395 "," 35,076 "," (18,681)"," 19,473 "," 30,009 "," (10,536)"," (3,078)"," 5,067 ", 898 , 131 
"Muncie, IN Total"," 116,852 "," 18,153 "," 24,263 "," (6,110)"," 22,630 "," 21,231 "," 1,399 "," (4,477)"," 3,032 ", 392 , 298 
"Morristown, TN Total"," 116,642 "," 7,569 "," 30,633 "," (23,064)"," 9,459 "," 27,552 "," (18,093)"," (1,890)"," 3,081 ", 435 , 268 
"Wenatchee, WA Total"," 116,178 "," 17,950 "," 27,717 "," (9,767)"," 17,566 "," 27,028 "," (9,462)", 384 , 689 ," 4,740 ", 25 
"Wooster, OH Total"," 116,063 "," 15,031 "," 32,270 "," (17,239)"," 18,932 "," 29,450 "," (10,518)"," (3,901)"," 2,820 ", 555 , 209 
"Williamsport, PA Total"," 116,048 "," 13,020 "," 35,627 "," (22,607)"," 15,104 "," 30,490 "," (15,386)"," (2,084)"," 5,137 "," 1,229 ", 94 
"Brunswick, GA Total"," 116,003 "," 14,697 "," 30,566 "," (15,869)"," 15,721 "," 29,221 "," (13,500)"," (1,024)"," 1,345 "," 1,286 ", 90 
"Anniston-Oxford-Jacksonville, AL Total"," 115,620 "," 13,242 "," 32,865 "," (19,623)"," 15,500 "," 30,272 "," (14,772)"," (2,258)"," 2,593 ", 606 , 191 
"Sheboygan, WI Total"," 115,569 "," 23,000 "," 32,514 "," (9,514)"," 28,356 "," 34,282 "," (5,926)"," (5,356)"," (1,768)", 511 , 226 
"Holland, MI Total"," 114,625 "," 18,050 "," 34,183 "," (16,133)"," 19,594 "," 29,023 "," (9,429)"," (1,544)"," 5,160 ", 825 , 139 
"Missoula, MT Total"," 114,181 "," 31,543 "," 22,250 "," 9,293 "," 34,380 "," 23,285 "," 11,095 "," (2,837)"," (1,035)"," 2,593 ", 44 
"California-Lexington Park, MD Total"," 111,413 "," 17,534 "," 28,663 "," (11,129)"," 17,982 "," 25,096 "," (7,114)", (448)," 3,567 ", 357 , 312 
"Ogdensburg-Massena, NY Total"," 111,007 "," 16,488 "," 19,942 "," (3,454)"," 19,574 "," 13,914 "," 5,660 "," (3,086)"," 6,028 "," 2,680 ", 41 
"Michigan City-La Porte, IN Total"," 110,884 "," 19,798 "," 22,687 "," (2,889)"," 24,104 "," 18,609 "," 5,495 "," (4,306)"," 4,078 ", 598 , 185 
"Kankakee, IL Total"," 110,879 "," 18,971 "," 25,129 "," (6,158)"," 21,574 "," 23,115 "," (1,541)"," (2,603)"," 2,014 ", 677 , 164 
"Show Low, AZ Total"," 108,277 "," 16,459 "," 20,577 "," (4,118)"," 16,157 "," 19,155 "," (2,998)", 302 ," 1,422 "," 9,950 ", 11 
"Cookeville, TN Total"," 108,191 "," 9,925 "," 28,297 "," (18,372)"," 12,331 "," 24,394 "," (12,063)"," (2,406)"," 3,903 "," 1,143 ", 95 
"Roseburg, OR Total"," 107,685 "," 14,096 "," 34,582 "," (20,486)"," 17,032 "," 30,588 "," (13,556)"," (2,936)"," 3,994 "," 5,036 ", 21 
"Sumter, SC Total"," 107,480 "," 24,047 "," 18,745 "," 5,302 "," 27,550 "," 19,266 "," 8,284 "," (3,503)", (521), 665 , 162 
"Decatur, IL Total"," 107,303 "," 18,343 "," 26,866 "," (8,523)"," 22,688 "," 25,249 "," (2,561)"," (4,345)"," 1,617 ", 581 , 185 
"Lewiston-Auburn, ME Total"," 107,233 "," 23,009 "," 28,227 "," (5,218)"," 28,912 "," 22,210 "," 6,702 "," (5,903)"," 6,017 ", 468 , 229 
"Bay City, MI Total"," 105,659 "," 21,642 "," 28,328 "," (6,686)"," 26,797 "," 23,735 "," 3,062 "," (5,155)"," 4,593 ", 442 , 239 
"Twin Falls, ID Total"," 105,189 "," 7,562 "," 24,472 "," (16,910)"," 9,240 "," 24,577 "," (15,337)"," (1,678)", (105)," 2,518 ", 42 
"Ithaca, NY Total"," 104,926 "," 28,890 "," 10,371 "," 18,519 "," 24,447 "," 10,202 "," 14,245 "," 4,443 ", 169 , 475 , 221 
"Salem, OH Total"," 104,806 "," 12,432 "," 31,676 "," (19,244)"," 19,351 "," 24,778 "," (5,427)"," (6,919)"," 6,898 ", 532 , 197 
"Richmond-Berea, KY Total"," 104,766 "," 12,708 "," 29,040 "," (16,332)"," 12,609 "," 26,156 "," (13,547)", 99 ," 2,884 ", 754 , 139 
"Meridian, MS Total"," 104,499 "," 16,681 "," 24,656 "," (7,975)"," 18,576 "," 23,526 "," (4,950)"," (1,895)"," 1,130 "," 2,161 ", 48 
"Lima, OH Total"," 104,425 "," 13,294 "," 30,487 "," (17,193)"," 16,869 "," 28,802 "," (11,933)"," (3,575)"," 1,685 ", 403 , 259 
"Danville, VA Total"," 104,276 "," 20,258 "," 28,857 "," (8,599)"," 23,070 "," 27,031 "," (3,961)"," (2,812)"," 1,826 "," 1,012 ", 103 
"Bluefield, WV-VA Total"," 104,063 "," 7,599 "," 32,572 "," (24,973)"," 9,077 "," 29,249 "," (20,172)"," (1,478)"," 3,323 ", 938 , 111 
"Longview, WA Total"," 103,468 "," 17,908 "," 24,185 "," (6,277)"," 20,897 "," 19,107 "," 1,790 "," (2,989)"," 5,078 "," 1,140 ", 91 
"Gadsden, AL Total"," 103,057 "," 10,442 "," 32,353 "," (21,911)"," 12,792 "," 29,102 "," (16,310)"," (2,350)"," 3,251 ", 535 , 193 
"Whitewater-Elkhorn, WI Total"," 102,804 "," 18,710 "," 28,863 "," (10,153)"," 22,512 "," 28,962 "," (6,450)"," (3,802)", (99), 555 , 185 
"Grand Forks, ND-MN Total"," 102,449 "," 15,563 "," 25,319 "," (9,756)"," 20,781 "," 22,659 "," (1,878)"," (5,218)"," 2,660 "," 3,408 ", 30 
"Gettysburg, PA Total"," 102,295 "," 14,219 "," 31,423 "," (17,204)"," 14,893 "," 26,490 "," (11,597)", (674)," 4,933 ", 519 , 197 
"Tullahoma-Manchester, TN Total"," 102,048 "," 9,613 "," 28,274 "," (18,661)"," 12,164 "," 25,318 "," (13,154)"," (2,551)"," 2,956 "," 1,113 ", 92 
"Fond du Lac, WI Total"," 101,973 "," 17,387 "," 31,022 "," (13,635)"," 22,356 "," 30,329 "," (7,973)"," (4,969)", 693 , 720 , 142 
"Bozeman, MT Total"," 100,739 "," 24,246 "," 23,802 ", 444 ," 21,534 "," 24,051 "," (2,517)"," 2,712 ", (249)," 2,603 ", 39 
"Cumberland, MD-WV Total"," 99,979 "," 9,925 "," 30,340 "," (20,415)"," 11,837 "," 25,845 "," (14,008)"," (1,912)"," 4,495 ", 752 , 133 
"Victoria, TX Total"," 99,913 "," 9,839 "," 23,895 "," (14,056)"," 9,922 "," 21,978 "," (12,056)", (83)," 1,917 "," 1,734 ", 58 
"Sebring, FL Total"," 99,491 "," 14,937 "," 29,565 "," (14,628)"," 16,147 "," 25,912 "," (9,765)"," (1,210)"," 3,653 "," 1,017 ", 98 
"Mankato-North Mankato, MN Total"," 99,134 "," 22,314 "," 24,104 "," (1,790)"," 27,816 "," 23,130 "," 4,686 "," (5,502)", 974 ," 1,196 ", 83 
"Truckee-Grass Valley, CA Total"," 98,877 "," 26,053 "," 23,365 "," 2,688 "," 14,261 "," 15,696 "," (1,435)"," 11,792 "," 7,669 ", 958 , 103 
"Ashtabula, OH Total"," 98,632 "," 15,577 "," 23,318 "," (7,741)"," 22,964 "," 17,890 "," 5,074 "," (7,387)"," 5,428 ", 702 , 141 
"Adrian, MI Total"," 98,573 "," 16,750 "," 26,430 "," (9,680)"," 21,774 "," 22,351 ", (577)," (5,024)"," 4,079 ", 750 , 132 
"Manhattan, KS Total"," 98,545 "," 11,083 "," 17,268 "," (6,185)"," 10,878 "," 17,849 "," (6,971)", 205 , (581)," 1,451 ", 68 
"Corning, NY Total"," 97,631 "," 12,526 "," 26,831 "," (14,305)"," 14,586 "," 20,425 "," (5,839)"," (2,060)"," 6,406 "," 1,391 ", 70 
"Cape Girardeau, MO-IL Total"," 97,534 "," 10,459 "," 33,340 "," (22,881)"," 12,887 "," 30,922 "," (18,035)"," (2,428)"," 2,418 "," 1,432 ", 68 
"Paducah, KY-IL Total"," 97,312 "," 12,395 "," 32,351 "," (19,956)"," 14,689 "," 29,993 "," (15,304)"," (2,294)"," 2,358 "," 1,046 ", 93 
"Hot Springs, AR Total"," 97,177 "," 12,311 "," 26,087 "," (13,776)"," 13,317 "," 25,031 "," (11,714)"," (1,006)"," 1,056 ", 678 , 143 
"Dubuque, IA Total"," 97,125 "," 22,850 "," 23,460 ", (610)," 28,600 "," 21,265 "," 7,335 "," (5,750)"," 2,195 ", 608 , 160 
"Cheyenne, WY Total"," 97,121 "," 11,573 "," 24,847 "," (13,274)"," 13,807 "," 23,247 "," (9,440)"," (2,234)"," 1,600 "," 2,686 ", 36 
"Shelby, NC Total"," 96,879 "," 14,964 "," 28,479 "," (13,515)"," 16,734 "," 25,440 "," (8,706)"," (1,770)"," 3,039 ", 464 , 209 
"Rome, GA Total"," 96,504 "," 9,159 "," 24,114 "," (14,955)"," 9,595 "," 22,636 "," (13,041)", (436)," 1,478 ", 510 , 189 
"Kalispell, MT Total"," 96,165 "," 13,293 "," 30,240 "," (16,947)"," 13,534 "," 27,694 "," (14,160)", (241)," 2,546 "," 5,088 ", 19 
"Ames, IA Total"," 96,021 "," 25,709 "," 19,458 "," 6,251 "," 25,940 "," 19,557 "," 6,383 ", (231), (99), 573 , 168 
"Sevierville, TN Total"," 95,946 "," 6,297 "," 28,629 "," (22,332)"," 7,415 "," 25,979 "," (18,564)"," (1,118)"," 2,650 ", 593 , 162 
"Greenwood, SC Total"," 94,770 "," 14,452 "," 23,724 "," (9,272)"," 16,391 "," 22,213 "," (5,822)"," (1,939)"," 1,511 ", 945 , 100 
"Ocean City, NJ Total"," 94,727 "," 18,750 "," 28,446 "," (9,696)"," 21,275 "," 25,488 "," (4,213)"," (2,525)"," 2,958 ", 251 , 377 
"Albertville, AL Total"," 94,725 "," 4,917 "," 29,233 "," (24,316)"," 6,271 "," 25,785 "," (19,514)"," (1,354)"," 3,448 ", 566 , 167 
"Pinehurst-Southern Pines, NC Total"," 94,352 "," 16,329 "," 30,490 "," (14,161)"," 16,371 "," 29,336 "," (12,965)", (42)," 1,154 ", 698 , 135 
"Clarksburg, WV Total"," 93,802 "," 9,547 "," 25,841 "," (16,294)"," 12,164 "," 21,690 "," (9,526)"," (2,617)"," 4,151 ", 909 , 103 
"Pine Bluff, AR Total"," 93,696 "," 17,747 "," 14,167 "," 3,580 "," 19,725 "," 14,027 "," 5,698 "," (1,978)", 140 ," 2,030 ", 46 
"Moses Lake, WA Total"," 93,259 "," 7,810 "," 18,518 "," (10,708)"," 8,746 "," 17,570 "," (8,824)", (936), 948 ," 2,680 ", 35 
